utcTime,scoreStr,home,away,finished
2024-09-17T16:45:00Z,3 - 1,Juventus,PSV Eindhoven,True
2024-09-17T16:45:00Z,0 - 3,Young Boys,Aston Villa,True
2024-09-17T19:00:00Z,1 - 3,Milan,Liverpool,True
2024-09-17T19:00:00Z,9 - 2,Bayern München,Dinamo Zagreb,True
2024-09-17T19:00:00Z,3 - 1,Real Madrid,VfB Stuttgart,True
2024-09-17T19:00:00Z,2 - 0,Sporting CP,Lille,True
2024-09-18T16:45:00Z,0 - 0,Bologna,Shakhtar Donetsk,True
2024-09-18T16:45:00Z,3 - 0,Sparta Prague,Salzburg,True
2024-09-18T19:00:00Z,5 - 1,Celtic,Slovan Bratislava,True
2024-09-18T19:00:00Z,0 - 3,Club Brugge,Dortmund,True
2024-09-18T19:00:00Z,0 - 0,Man City,Inter,True
2024-09-18T19:00:00Z,1 - 0,PSG,Girona,True
2024-09-19T16:45:00Z,0 - 4,Feyenoord,Leverkusen,True
2024-09-19T16:45:00Z,1 - 2,FK Crvena Zvezda,Benfica,True
2024-09-19T19:00:00Z,0 - 0,Atalanta,Arsenal,True
2024-09-19T19:00:00Z,2 - 1,Atletico Madrid,RB Leipzig,True
2024-09-19T19:00:00Z,2 - 1,Brest,Sturm Graz,True
2024-09-19T19:00:00Z,2 - 1,Monaco,Barcelona,True
2024-10-01T16:45:00Z,0 - 4,Salzburg,Brest,True
2024-10-01T16:45:00Z,1 - 1,VfB Stuttgart,Sparta Prague,True
2024-10-01T19:00:00Z,2 - 0,Arsenal,PSG,True
2024-10-01T19:00:00Z,5 - 0,Barcelona,Young Boys,True
2024-10-01T19:00:00Z,1 - 0,Leverkusen,Milan,True
2024-10-01T19:00:00Z,7 - 1,Dortmund,Celtic,True
2024-10-01T19:00:00Z,4 - 0,Inter,FK Crvena Zvezda,True
2024-10-01T19:00:00Z,1 - 1,PSV Eindhoven,Sporting CP,True
2024-10-01T19:00:00Z,0 - 4,Slovan Bratislava,Man City,True
2024-10-02T16:45:00Z,2 - 3,Girona,Feyenoord,True
2024-10-02T16:45:00Z,0 - 3,Shakhtar Donetsk,Atalanta,True
2024-10-02T19:00:00Z,1 - 0,Aston Villa,Bayern München,True
2024-10-02T19:00:00Z,4 - 0,Benfica,Atletico Madrid,True
2024-10-02T19:00:00Z,2 - 2,Dinamo Zagreb,Monaco,True
2024-10-02T19:00:00Z,1 - 0,Lille,Real Madrid,True
2024-10-02T19:00:00Z,2 - 0,Liverpool,Bologna,True
2024-10-02T19:00:00Z,2 - 3,RB Leipzig,Juventus,True
2024-10-02T19:00:00Z,0 - 1,Sturm Graz,Club Brugge,True
2024-10-22T16:45:00Z,3 - 1,Milan,Club Brugge,True
2024-10-22T16:45:00Z,5 - 1,Monaco,FK Crvena Zvezda,True
2024-10-22T19:00:00Z,1 - 0,Arsenal,Shakhtar Donetsk,True
2024-10-22T19:00:00Z,2 - 0,Aston Villa,Bologna,True
2024-10-22T19:00:00Z,2 - 0,Girona,Slovan Bratislava,True
2024-10-22T19:00:00Z,0 - 1,Juventus,VfB Stuttgart,True
2024-10-22T19:00:00Z,1 - 1,PSG,PSV Eindhoven,True
2024-10-22T19:00:00Z,5 - 2,Real Madrid,Dortmund,True
2024-10-22T19:00:00Z,0 - 2,Sturm Graz,Sporting CP,True
2024-10-23T16:45:00Z,0 - 0,Atalanta,Celtic,True
2024-10-23T16:45:00Z,1 - 1,Brest,Leverkusen,True
2024-10-23T19:00:00Z,1 - 3,Atletico Madrid,Lille,True
